"mz","mean_benign_epithelium","mean_tumour_epithelium","fc","log2fc","pvalue","pvalue_adj","mode"
288.923,0.0586868727337002,0.0634042559001387,0.925598319868806,-0.111541849196434,0.659196394231809,0.728399234569655,"negative"
288.9314,0.0452170888598241,0.0209133604521976,2.16211492950539,1.11244321309132,2.76466996131397e-05,0.000127713072549194,"negative"
288.9538,0.000229030317257454,0.000160114583042756,1.43041509964333,0.516433870986194,0.0892978099588831,0.140437340615525,"negative"
288.9873,0.0102154488103432,0.00374315106262689,2.72910407285945,1.44842741203064,9.85396714783083e-06,5.24110567076766e-05,"negative"
289.0376,0.571507815504474,0.387509390981071,1.47482313669242,0.560541954396009,1.20151168158779e-06,7.96791957263481e-06,"negative"
289.0739,0.0403770818961831,0.0134717224759921,2.99717292782262,1.58360232539797,0.0773498031681333,0.124759987539972,"negative"
289.0865,0.11200537087744,0.0748259890569652,1.49687792021258,0.581956565360452,1.15228824482405e-06,7.65538408470376e-06,"negative"
289.1103,0.00153650880541969,0.000547777077830698,2.8049892330372,1.4879952330538,0.570311364937116,0.650817528882018,"negative"
289.1298,0.00955629778635708,0.00866663388202129,1.10265391574708,0.140980050781848,0.45974097193393,0.549772301907228,"negative"
289.1606,0.00038816412181509,0.000210680152649716,1.84243326641435,0.881612365341167,0.249375405232059,0.33256121559049,"negative"
289.1662,0.894484783524114,1.36377898963059,0.655886907134715,-0.608481018735461,0.0603854216101142,0.101400887207425,"negative"
289.1802,0.0213165280586126,0.0366224647508251,0.582061535280262,-0.780756412628725,7.21136837346612e-05,0.000300802968454854,"negative"
289.6421,0.00129957001255739,0.00114734990546147,1.13267104165115,0.179728924275573,0.0358786337310605,0.0659459394634281,"negative"
290.0406,0.0117497999499724,0.00476820775520177,2.46419630880265,1.30111719209399,6.37319781498694e-05,0.000269845478748115,"negative"
290.0715,1.57997772029197e-05,3.93774713942308e-05,0.401238998937717,-1.31746625753236,0.980057075985614,0.984908843688513,"negative"
290.0898,0.00682684321115749,0.00504930173727333,1.35203708678421,0.435134725722043,0.119952457774408,0.179931064891377,"negative"
290.1052,0.0274001891447096,0.0161667421973327,1.69484914216237,0.761156865373392,0.548178588984971,0.631141335600952,"negative"
290.1699,0.0921659588740883,0.179877299684496,0.512382379743007,-0.964707231023713,0.0151517306153722,0.0317640967115345,"negative"
290.6117,0.00143446613994116,0.00304514568050393,0.471066507302131,-1.08599733445198,0.17307269333506,0.244455980458565,"negative"
290.8485,1.68869944341373e-06,1.05009375e-06,1.60814160013211,0.685394444336637,0.911461185130175,0.933430260780734,"negative"
291.0574,0.1312694045918,0.0923701973374773,1.42112292033114,0.507031346194038,0.00585357643502729,0.014136793320284,"negative"
291.0701,0.0325512069188494,0.00714262144902299,4.55731934712878,2.18818546873462,5.30444449615561e-17,2.76892002699323e-14,"negative"
291.0884,0.000700312381658365,0.000215656969798625,3.24734406827797,1.69926025167065,0.588863031736416,0.66823152731828,"negative"
291.1605,0.929279944819081,1.04877238895729,0.886064464133149,-0.1745164314321,0.171118401459298,0.242262028684212,"negative"
291.1958,0.00460363563762579,0.0194402412126225,0.236809594452802,-2.07820056126396,8.76023741549484e-08,7.6762368144408e-07,"negative"
291.2099,0.136296290610677,0.196012230989161,0.695345846138624,-0.524197381214799,7.21136837346612e-05,0.000300802968454854,"negative"
292.0596,0.014395531022204,0.0114877744504284,1.25311748453306,0.325521679151081,0.0752905749696276,0.12213744636658,"negative"
292.0724,0.156101498009047,0.280144966544046,0.557216857881699,-0.843689189398974,4.25252461336496e-06,2.49818728894462e-05,"negative"
292.1646,0.133204364975037,0.160695602808269,0.828923521535106,-0.270689093518292,0.129082603245481,0.190968333343201,"negative"
