"mz","mean_gp4_non_cribriform","mean_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"306.9545",0.001062742952886,0.000861014247940525,1.23429194746544,0.303683675965795,0.371081928167113,0.678858766895424,"negative"
"307.0341",0.0834857450739177,0.0963832954772517,0.866184795410134,-0.207253246632101,0.829153449401056,0.933264195256247,"negative"
"307.0815",0.189796506933261,0.133146760556262,1.42546845406022,0.511436112461086,0.0646345435768364,0.368862653860911,"negative"
"307.0953",0.00325492483160173,0.00365716379274901,0.890013413688282,-0.168101015307501,0.47003704613751,0.753115898349208,"negative"
"307.1137",0.000141162754978355,0.00167264679831645,0.0843948376432117,-3.56670143650954,0.710716199947908,0.882175889342355,"negative"
"307.155",0.167478975078139,0.149473934189406,1.1204560580169,0.164086070424208,0.99251628687154,1,"negative"
"307.1917",0.134561840685678,0.272461608747785,0.493874499618919,-1.0177836153856,0.104660499992779,0.448316329969068,"negative"
"307.2055",0.0015396923212482,0.00113459842675537,1.35703724325732,0.440460315395915,0.321085653073869,0.636749925295184,"negative"
"307.2269",0.000270405209343434,0.000257164419650544,1.0514876424619,0.0724318949924793,0.741595607962976,0.897276987060829,"negative"
"307.256",0.254017478124459,0.192394668367363,1.3202937497178,0.400858947851434,0.117257336591686,0.461051795389123,"negative"
"307.2637",5.483540985,4.77432893969757,1.14854695900936,0.199809843346185,0.977551493870462,0.994333419285682,"negative"
"308.0724",0.0472758379083333,0.0314069178069145,1.5052683042309,0.590020660861371,0.167951296547838,0.495076436530317,"negative"
"308.0801",0.00494173771042569,0.00258925054519672,1.90855910780555,0.932483867306658,0.151076227942604,0.489684158618023,"negative"
"308.0985",0.0649396582425685,0.0710241641171511,0.914331890417655,-0.129210155263661,0.714511589582698,0.882175889342355,"negative"
"308.1585",0.0116858866133838,0.00791555082652481,1.47632007796914,0.562005543103542,0.873037168819585,0.956022035695176,"negative"
"308.1939",0.00733788823686869,0.0282098878872413,0.26011759657462,-1.94276409609765,0.0790998948342783,0.407349194017933,"negative"
"308.2677",1.15902722093939,1.01205122639363,1.14522584500935,0.195632133995216,0.962594597857589,0.990058455028102,"negative"
"308.8009",0.021805442359596,0.00903041674560573,2.41466623012793,1.27182378474736,0.785283405759101,0.914450864081486,"negative"
"308.9167",0.0817314215746753,0.0788228844221359,1.03689965387416,0.0522762838686734,0.829189038532485,0.933264195256247,"negative"
"309.017",0.00693935984051227,0.00469844395178406,1.47694851991952,0.562619540827705,0.151157342870565,0.489684158618023,"negative"
"309.1345",0.000397859497727273,0.000650781788668514,0.611356225166173,-0.709914840007289,0.681361163333199,0.869070596440343,"negative"
"309.1468",0.0418623662108947,0.0764105915627233,0.547860778914806,-0.868118769379029,0.0545034002430828,0.352481137273649,"negative"
"309.1546",5.78082166666667e-05,0.000917008380751489,0.0630400090992547,-3.98758844674045,0.436173880218975,0.72698560421836,"negative"
"309.1731",0.149346207536147,0.0239263242839987,6.24192022825779,2.64198991973192,0.218961574212146,0.542130277541073,"negative"
"309.2071",0.090946736874062,0.106365091441675,0.855043093945273,-0.225930961608827,0.567217349756169,0.807048991974292,"negative"
"309.2411",0.000646622603787879,0.000829034107667286,0.779971050415921,-0.3585075173182,0.292547164144889,0.605895463396781,"negative"
"309.2705",0.0372429304322511,0.0170110814111089,2.18933350162736,1.13049173729451,0.0877645467391506,0.419692551357563,"negative"
"309.2798",7.1451408126912,10.0312113843366,0.712290922694351,-0.489461489925169,0.173817505519182,0.499788127494625,"negative"
"309.9552",0.00635184118412698,0.00361906970133012,1.75510330231896,0.811555947542517,0.0930157096503055,0.425069702811298,"negative"
"309.9831",0.0131851128848485,0.00653106135504083,2.0188315754639,1.01352055634623,0.977346974761735,0.994333419285682,"negative"
"310.1135",4.91732728029942,3.67508932961262,1.33801571588404,0.42009506149119,0.0136315133104814,0.264001808316292,"negative"
"310.1508",0.00531081105919913,0.0101483244294965,0.523319006609902,-0.934237437226742,0.324694806729106,0.637312016873679,"negative"
"310.1632",0,7.87826982857143e-05,0,-Inf,0.347267053388158,0.661296726666465,"negative"
"310.1757",0.089696431634632,0.0515188606033441,1.74104067101224,0.799949904989196,0.800076045788902,0.921568137525275,"negative"
"310.2844",1.51661319547547,2.14497032024358,0.707055562103649,-0.500104504998707,0.162245967993385,0.494341062312899,"negative"
"310.3124",0.0103101409840909,0.0168597341068521,0.611524530502572,-0.709517723159083,0.150616291321776,0.489684158618023,"negative"
"310.664",0.0214675644833694,0.0269171865950492,0.797541169749067,-0.326369100950587,0.70055757685117,0.87529453195739,"negative"
"310.7979",0.024825530374495,0.00917915968602658,2.70455370901618,1.43539054787481,0.415647853528188,0.718105790207639,"negative"
"310.9132",0.0121741285543651,0.00766514655358031,1.58824472164575,0.667433224510558,0.692517879143199,0.873685931379206,"negative"
"310.9351",0.000236742965909091,6.02774867204396e-05,3.92755203957124,1.97363039117421,0.24487437524332,0.563319378850011,"negative"
"310.9694",0.00639123916515152,0.0129104152454093,0.495045205259691,-1.01436782337954,0.939107321532056,0.983109378348626,"negative"
"311.1191",0.580439333684704,0.425334184533088,1.36466654877948,0.448548477012468,0.0195164984235624,0.276496384280897,"negative"
"311.1503",0.164656777148268,0.144861996256649,1.13664578290465,0.184782731921242,0.372896878272686,0.678858766895424,"negative"
"311.1675",0.201801732439935,0.286719082285772,0.703830839688585,-0.506699364984194,0.121711196166436,0.469439052163128,"negative"
"311.1784",0.00505851809523809,0.00252604121644019,2.00254772658333,1.0018366266962,0.683461120144768,0.869070596440343,"negative"
"311.1862",0.158595112709885,0.187155280556188,0.847398546482747,-0.238887440794872,0.192314825260922,0.51260488929357,"negative"
"311.2221",0.441693230757215,0.471085050961022,0.937608251113366,-0.0929428291076231,0.800076045788902,0.921568137525275,"negative"
"311.233",6.52820454545455e-06,7.2033390139132e-05,0.0906274789072868,-3.46390763759882,0.216811481997643,0.542130277541073,"negative"
"311.2596",0.00972528963556999,0.0145696177113211,0.667504791701781,-0.583149901623374,0.135863567933216,0.481100472219405,"negative"
