"mz","mean_gp4_cribriform","mean_gp3","fc","log2fc","pvalue","pvalue_adj","mode"
"424.1749",0.0200868186709402,0.011709542019658,1.71542308291976,0.778564438994953,0.272463063610313,0.481345060276977,"negative"
"424.3438",0.00050645254551282,0.00531996830359463,0.0951984140902903,-3.39291864988784,0.222659584531523,0.427675360323851,"negative"
"424.8314",0,0.00476661588188577,0,-Inf,0.0278311247072833,0.143165192350178,"negative"
"424.951",0.00196229539316239,0.00471992094972993,0.41574751231261,-1.26622046393044,0.197253640483029,0.394074469906304,"negative"
"425.0681",0.00362872499145299,0.00479137762261085,0.757344813384939,-0.400977796924345,0.892794194398633,0.9419794174229,"negative"
"425.0805",0.0115768031495726,0.00398006572920924,2.90869647317928,1.54037275691061,0.107575494232567,0.271887543369194,"negative"
"425.1403",0.00702751327350427,0.00739955318714325,0.949721300161015,-0.0744238844603305,0.68608199251415,0.82418969987939,"negative"
"425.2525",0.00191778176495726,0.00569523426752432,0.336734482704767,-1.57031662949876,0.289799824135091,0.49815602148492,"negative"
"425.3648",0.000930392931623932,0.00114823424166737,0.81028147207393,-0.303504942660266,0.522304469250782,0.70501388650443,"negative"
"425.3997",0.000937306747863248,0.00110319950783516,0.84962578500651,-0.235100544215479,0.0166408143316954,0.135825571218639,"negative"
"425.8691",0,0.00410345790696519,0,-Inf,0.0362646795415945,0.154655694251156,"negative"
"426.0716",0.000640214247863248,0.000846522602568762,0.756287246106041,-0.402993805117859,0.729500623726091,0.856769194327772,"negative"
"426.3593",0.0214890427863248,0.055249401981079,0.388946160787117,-1.3623576284705,0.197163314559495,0.394074469906304,"negative"
"426.9482",0.00128520226923077,0.00273123403953599,0.470557356354972,-1.08755751075267,0.576503388045816,0.740954312969257,"negative"
"427.0661",8.61142307692308e-05,0.000620904309472527,0.138691630023291,-2.85004737058744,0.0648644989122222,0.207406940332145,"negative"
"427.272",0.00421454742735043,0.0856264289552879,0.0492201704400305,-4.34460653619318,0.148627868624086,0.327504371809822,"negative"
"427.2971",0,6.91502663461538e-06,0,-Inf,0.770716631475473,0.869254735440629,"negative"
"427.3423",0.0265474299957265,0.0517744716834839,0.512751345064814,-0.963668723656069,0.326309462319236,0.536596451394576,"negative"
"427.3775",0.00655136676923077,0.00812151992929756,0.806667572851404,-0.309953832542577,0.0604328774049345,0.199086219050093,"negative"
"427.8678",0,0.00441339946895152,0,-Inf,0.0181989459856171,0.135825571218639,"negative"
"428.2984",0,1.48024912307692e-05,0,-Inf,0.700682907216391,0.83123359872381,"negative"
"428.3388",0.0503103059871795,0.185660463885957,0.270980180347297,-1.88374075902896,0.0734883472918226,0.217951596772653,"negative"
"428.3841",0.000694030333333333,0.000987137202710317,0.703073829481637,-0.508251900846496,0.010789243134343,0.135825571218639,"negative"
"428.9696",0,0.00964926609479634,0,-Inf,0.0590502318386706,0.196402688909989,"negative"
"429.2426",0.000681997829059829,0.0160878415364078,0.0423921274657277,-4.56005981934215,0.00837498496141481,0.135825571218639,"negative"
"429.2654",2.26621111111111e-05,0.000153763915628816,0.147382505306493,-2.76236281201139,0.585922270571849,0.750062885561573,"negative"
